model,resolution,protocol,size,row_type,condition,baseline_condition,baseline_map50_95,complete,expected_conditions,map50_95,map50_95_drop,map50_95_drop_percentage_points,map50_95_relative_drop,map50_95_retention,n_conditions,observed_partial_map50_95,worst_condition
leaf_yolo_n_external,640,native10,large,corrupted8_worst_excluding_S1T1,aggregate,S1T1,0.4052924631251818,True,8,0.1973183472343563,0.2079741158908255,20.79741158908255,0.5131457769709105,0.4868542230290895,8,,S2T3
leaf_yolo_n_external,640,native10,medium,condition,CLEAN,S1T1,0.310097037530158,True,1,0.30910859622537024,0.0009884413047877572,0.09884413047877572,0.003187522566034273,0.9968124774339657,1,,
leaf_yolo_n_external,640,native10,medium,condition,S1T1,S1T1,0.310097037530158,True,1,0.310097037530158,0.0,0.0,0.0,1.0,1,,
leaf_yolo_n_external,640,native10,medium,condition,S1T2,S1T1,0.310097037530158,True,1,0.28598978546712056,0.024107252063037432,2.410725206303743,0.07774099441595894,0.9222590055840411,1,,
leaf_yolo_n_external,640,native10,medium,condition,S1T3,S1T1,0.310097037530158,True,1,0.10118642214501386,0.20891061538514413,20.891061538514414,0.6736943282304877,0.32630567176951225,1,,
leaf_yolo_n_external,640,native10,medium,condition,S2T1,S1T1,0.310097037530158,True,1,0.24427823338859062,0.06581880414156738,6.581880414156737,0.2122522829169765,0.7877477170830235,1,,
leaf_yolo_n_external,640,native10,medium,condition,S2T2,S1T1,0.310097037530158,True,1,0.2180088001646368,0.09208823736552119,9.20882373655212,0.2969658726796618,0.7030341273203382,1,,
leaf_yolo_n_external,640,native10,medium,condition,S2T3,S1T1,0.310097037530158,True,1,0.07145167795382232,0.23864535957633567,23.864535957633567,0.7695828424453317,0.23041715755466835,1,,
leaf_yolo_n_external,640,native10,medium,condition,S3T1,S1T1,0.310097037530158,True,1,0.25595763525484,0.054139402275317994,5.4139402275318,0.17458858267890665,0.8254114173210934,1,,
leaf_yolo_n_external,640,native10,medium,condition,S3T2,S1T1,0.310097037530158,True,1,0.23840951041039338,0.07168752711976462,7.168752711976461,0.23117772324023822,0.7688222767597618,1,,
leaf_yolo_n_external,640,native10,medium,condition,S3T3,S1T1,0.310097037530158,True,1,0.07406478832540286,0.23603224920475513,23.603224920475512,0.7611560919275154,0.2388439080724846,1,,
leaf_yolo_n_external,640,native10,medium,matrix9_mean_including_S1T1,aggregate,S1T1,0.310097037530158,True,9,0.1999382100711087,0.11015882745904929,11.015882745904928,0.35523985761500854,0.6447601423849915,9,,
leaf_yolo_n_external,640,native10,medium,corrupted8_mean_excluding_S1T1,aggregate,S1T1,0.310097037530158,True,8,0.18616835663872755,0.12392868089143044,12.392868089143045,0.3996448398168846,0.6003551601831154,8,,
leaf_yolo_n_external,640,native10,medium,corrupted8_worst_excluding_S1T1,aggregate,S1T1,0.310097037530158,True,8,0.07145167795382232,0.23864535957633567,23.864535957633567,0.7695828424453317,0.23041715755466835,8,,S2T3
leaf_yolo_n_external,640,native10,small,condition,CLEAN,S1T1,0.18979216599759768,True,1,0.18989234301546565,-0.00010017701786796396,-0.010017701786796396,-0.0005278248306057609,1.0005278248306058,1,,
leaf_yolo_n_external,640,native10,small,condition,S1T1,S1T1,0.18979216599759768,True,1,0.18979216599759768,0.0,0.0,0.0,1.0,1,,
leaf_yolo_n_external,640,native10,small,condition,S1T2,S1T1,0.18979216599759768,True,1,0.1544019800447347,0.035390185952862974,3.539018595286297,0.18646810718894968,0.8135318928110503,1,,
leaf_yolo_n_external,640,native10,small,condition,S1T3,S1T1,0.18979216599759768,True,1,0.020107196772704387,0.1696849692248933,16.96849692248933,0.8940567611575765,0.10594323884242354,1,,
leaf_yolo_n_external,640,native10,small,condition,S2T1,S1T1,0.18979216599759768,True,1,0.13755241897653558,0.0522397470210621,5.22397470210621,0.2752471196399293,0.7247528803600707,1,,
leaf_yolo_n_external,640,native10,small,condition,S2T2,S1T1,0.18979216599759768,True,1,0.10320490854366368,0.086587257453934,8.6587257453934,0.45622145149568494,0.5437785485043151,1,,
leaf_yolo_n_external,640,native10,small,condition,S2T3,S1T1,0.18979216599759768,True,1,0.012011958098985006,0.17778020789861268,17.77802078986127,0.9367099372313552,0.06329006276864477,1,,
