model,state,backend,resolution,condition,protocol,size,category_id,class_name,map50,map50_95,ar50,ar50_95,area_reference,category_name,checkpoint_sha256,evaluated_categories,gt_count,image_count,max_det
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,small,3,,0.24850984267410423,0.10646033593351754,0.8723076923076923,0.4303076923076924,original_image_pixels,bicycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,650,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,small,4,,0.8511961682268316,0.5306008126130981,0.9766265060240964,0.6502168674698795,original_image_pixels,car,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,4150,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,small,5,,0.466594045995255,0.2702100288557129,0.9621087314662273,0.6184514003294893,original_image_pixels,van,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,607,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,small,6,,0.3098739137158805,0.17105643514414426,0.8375634517766497,0.4802030456852792,original_image_pixels,truck,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,197,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,small,7,,0.3201535269561088,0.1748862953220489,0.8618266978922716,0.4922716627634661,original_image_pixels,tricycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,427,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,small,8,,0.18631367528735612,0.11692272406592671,0.7813953488372093,0.4674418604651162,original_image_pixels,awning-tricycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,215,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,small,9,,0.5756330383169359,0.3797874979249469,0.8481012658227848,0.5708860759493672,original_image_pixels,bus,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,79,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,small,10,,0.6190523565611807,0.2848368081243565,0.9531595227574017,0.5190455148033584,original_image_pixels,motor,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,2263,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,medium,1,,0.7002864765624979,0.35635667963507783,0.9356943150046598,0.5335507921714818,original_image_pixels,pedestrian,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,1073,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,medium,2,,0.3958880695593128,0.14862241137750243,0.9036885245901639,0.46844262295081956,original_image_pixels,people,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,488,548,3000
